	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	Libsum	Perc05	Perc10	Perc90	Perc95	Zeros
GSM1315695_M6861_Psoriasis_skin_SRX451382	0	3	139	1244	877	672700	29078314	0	0	2363.3	4034.59999999999	4183
GSM1315694_M6844_Psoriasis_skin_SRX451381	0	3	128	1357	829	1946000	31700873	0	0	2312.3	4030	4281
GSM1315693_M6794_Psoriasis_skin_SRX451380	0	2	93	1357	737	800500	31699283	0	0	2209.9	4119.3	4848
GSM1315692_M6782_Psoriasis_skin_SRX451379	0	4	136	1090	741	772600	25482390	0	0	1973	3437.65	4005
GSM1315691_M6708_normal_skin_SRX451378	0	3	124.5	807.5	626	371100	18869283	0	0	1556.6	2639.65	4139
GSM1315690_M6690_Psoriasis_skin_SRX451377	0	3	112.5	877.7	633	448600	20509709	0	0	1607.3	2818.3	4415
GSM1315689_M6390_Psoriasis_skin_SRX451376	0	3	129	999	726	604100	23345715	0	0	1899.9	3213.65	4216
GSM1315688_M6346_Psoriasis_skin_SRX451375	0	2	109	945.4	657	764300	22091517	0	0	1804.3	3091	4446
GSM1315687_M6245_Psoriasis_skin_SRX451374	0	2	124	1063	746	628400	24845068	0	0	1931	3287.65	4554
GSM1315686_M6171_Psoriasis_skin_SRX451373	0	4	159	1337	969	459200	31236311	0	0	2547.3	4366.94999999999	4124
GSM1315685_M6153_Psoriasis_skin_SRX451372	0	4	145	1217	837	739000	28428558	0	0	2238.2	3813.65	4131
GSM1315684_M9003_normal_skin_SRX451371	0	1	68	740	431	555100	17292487	0	0	1233	2209	4969
GSM1315683_M5936_normal_skin_SRX451370	0	3	132	909.5	698	541200	21252286	0	0	1738.3	2844.3	4250
GSM1315682_M5917_normal_skin_SRX451369	0	4	143	1016	744.2	560800	23731837	0	0	1932.3	3275.65	4178
GSM1315681_M5904_normal_skin_SRX451368	0	3	135	912.3	683	505300	21317888	0	0	1707	2884.94999999999	4086
GSM1315680_M5883_normal_skin_SRX451367	0	4	134	904.1	696	580300	21127382	0	0	1738	2874.65	4100
GSM1315679_M5849_Psoriasis_skin_SRX451366	0	2	96	1009	628	688100	23578523	0	0	1698.3	3042.65	4578
GSM1315678_M582_Psoriasis_skin_SRX451365	0	0	58	669.8	382	799800	15651392	0	0	1061	1867.94999999999	6910
GSM1315677_M5766_normal_skin_SRX451364	0	3	124	899.4	657	436000	21018167	0	0	1678	2851.65	4197
GSM1315676_M5742_normal_skin_SRX451363	0	2	105	784.9	572	406900	18340414	0	0	1495.3	2546.3	4565
GSM1315675_M5611_normal_skin_SRX451362	0	2	109	877.8	589	915600	20512317	0	0	1536	2563.65	4542
GSM1315674_M5592_Psoriasis_skin_SRX451361	0	3	136	1128	793	669400	26350295	0	0	2056.3	3483.24999999999	4863
GSM1315673_M5478_Psoriasis_skin_SRX451360	0	3	124	1047	721	621400	24469351	0	0	1954.3	3325.94999999999	4219
GSM1315672_M5441_Psoriasis_skin_SRX451359	0	3	123	960.2	699	852100	22436977	0	0	1865.3	3096.3	4135
GSM1315671_M5414_Psoriasis_skin_SRX451358	0	2	98	765.1	547	481400	17878566	0	0	1414	2360.94999999999	5289
GSM1315670_M5385_Psoriasis_skin_SRX451357	0	4	150	1004	792	485200	23467467	0	0	2054.3	3371	3955
GSM1315669_M5324_normal_skin_SRX451356	0	4	141	924.7	728.2	434200	21608456	0	0	1828.3	3094	4021
GSM1315668_M5305_normal_skin_SRX451355	0	4	149	929.1	730	462200	21710233	0	0	1767	2994.65	4031
GSM1315667_M5286_Psoriasis_skin_SRX451354	0	2	70	620.8	415	696300	14507926	0	0	1151	1989.24999999999	5006
GSM1315666_M5258_Psoriasis_skin_SRX451353	0	3	111	960.8	647	821400	22451481	0	0	1693	2939.65	4378
GSM1315665_M5247_normal_skin_SRX451352	0	3	121	780.5	602	435100	18239361	0	0	1513.3	2586.59999999999	4120
GSM1315664_M5243_normal_skin_SRX451351	0	4	159	957.7	779.2	413500	22379526	0	0	1919.3	3175.65	3958
GSM1315663_M5223_normal_skin_SRX451350	0	3	131	925.7	724	459500	21631641	0	0	1816	3030.24999999999	4188
GSM1315662_M5219_Psoriasis_skin_SRX451349	0	4	174	1320	979	438500	30840815	0	0	2498.3	4242.94999999999	4100
GSM1315661_M5177_Psoriasis_skin_SRX451348	0	3	111	952.4	641	662000	22255630	0	0	1701.3	2915.3	4394
GSM1315660_M5146_normal_skin_SRX451347	0	3	127.5	937.4	682	427900	21905465	0	0	1759	2977.65	4494
GSM1315659_M5144_normal_skin_SRX451346	0	3	108	767.5	577	564900	17933832	0	0	1488.3	2450.65	4231
GSM1315658_M5142_normal_skin_SRX451345	0	4	141	919	743	531100	21475838	0	0	1832.3	3036.3	3946
GSM1315657_M5130_Psoriasis_skin_SRX451344	0	4	153	1333	906	642900	31150458	0	0	2429.3	4271.94999999999	4102
GSM1315656_M5079_normal_skin_SRX451343	0	3	125	786.3	642	380000	18373107	0	0	1588.3	2697.3	4143
GSM1315655_M5063_normal_skin_SRX451342	0	3	113	833.8	613	668900	19484275	0	0	1563	2630.54999999998	4262
GSM1315654_M5030_normal_skin_SRX451341	0	4	133	832.6	671	362200	19455900	0	0	1676.3	2781.65	3995
GSM1315653_M4999_normal_skin_SRX451340	0	3	131	924.1	691	563400	21594606	0	0	1738	2929	4160
GSM1315652_M4981_normal_skin_SRX451339	0	4	118	784.2	605	520300	18326264	0	0	1562.3	2605.94999999999	3901
GSM1315651_M4977_normal_skin_SRX451338	0	4	129	873.9	675	448100	20420982	0	0	1693	2803	4104
GSM1315650_M4934_Psoriasis_skin_SRX451337	0	2	114	903.7	635	676200	21118457	0	0	1578	2640.65	4462
GSM1315649_M4874_normal_skin_SRX451336	0	3	114.5	822	614	517900	19208603	0	0	1562.6	2618.65	4190
GSM1315648_M4787_Psoriasis_skin_SRX451335	0	2	99	953.1	623	511600	22271570	0	0	1699	3043.3	4565
GSM1315647_M4708_normal_skin_SRX451334	0	3	113	855.6	630	623400	19992706	0	0	1641.3	2786.65	4114
GSM1315646_M4701_normal_skin_SRX451333	0	4	149	967.5	749	452400	22608651	0	0	1921.3	3280.3	3918
GSM1315645_M4689_normal_skin_SRX451332	0	3	127	835.6	653	482600	19527152	0	0	1608	2629.3	4113
GSM1315644_M4649_normal_skin_SRX451331	0	3	105	765.5	560.2	438100	17887779	0	0	1443.3	2454.65	4129
GSM1315643_M4616_Psoriasis_skin_SRX451330	0	3	110	835.6	612.2	427700	19525362	0	0	1565	2651.3	4290
GSM1315642_M4545_Psoriasis_skin_SRX451329	0	2	120	1126	754.2	777300	26315252	0	0	2021.3	3532.94999999999	4575
GSM1315641_M4532_Psoriasis_skin_SRX451328	0	3	125	1036	760.2	514700	24210444	0	0	1996	3417.24999999999	4272
GSM1315640_M4505_Psoriasis_skin_SRX451327	0	2	77	676.9	472	456400	15816925	0	0	1319	2264.65	5046
GSM1315639_M4459_normal_skin_SRX451326	0	2	89	814.7	545	542300	19037498	0	0	1469	2591.3	4752
GSM1315638_M4397_Psoriasis_skin_SRX451325	0	2	90	881.8	583	750600	20606452	0	0	1570	2711.65	4591
GSM1315637_M4390_Psoriasis_skin_SRX451324	0	5	190	1582	1139	1197000	36962472	0	0	2933	4904.24999999999	3750
GSM1315636_M4389_Psoriasis_skin_SRX451323	0	2	63	595.1	378	505100	13905947	0	0	1029.3	1811	4782
GSM1315635_M4379_normal_skin_SRX451322	0	3	126	863.1	666	466900	20169880	0	0	1647.6	2784.65	4203
GSM1315634_M4368_Psoriasis_skin_SRX451321	0	2	66	628.8	388	289600	14693646	0	0	1044.3	1848.59999999999	4713
GSM1315633_M4356_Psoriasis_skin_SRX451320	0	2	71	589	379	338500	13762671	0	0	985.299999999999	1738.3	4579
GSM1315632_M4344_Psoriasis_skin_SRX451319	0	1	36	416.3	222	197900	9728632	0	0	634	1157	5496
GSM1315631_M4334_Psoriasis_skin_SRX451318	0	1	32	333	197	181900	7782114	0	0	529.299999999999	935	5511
GSM1315630_M4310_Psoriasis_skin_SRX451317	0	2	86	729.6	527	246800	17048455	0	0	1469.3	2591.94999999999	4524
GSM1315629_M4298_Psoriasis_skin_SRX451316	0	2	76	666.8	446.2	767500	15581194	0	0	1228	2107	4781
GSM1315627_M4294_Psoriasis_skin_SRX451315	0	2	67	684.2	456	501000	15988446	0	0	1329	2341.65	4888
GSM1315625_M4288_normal_skin_SRX451314	0	1	46	300	226	130800	7011473	0	0	572	971	5007
GSM1315623_M4284_Psoriasis_skin_SRX451313	0	1	37	303.3	203	173400	7088022	0	0	528	918	5287
GSM1315621_M4277_normal_skin_SRX451312	0	6	219	1578	1165	1042000	36875923	0	0	3034	5069.59999999999	3580
GSM1315618_M4271_Psoriasis_skin_SRX451311	0	3	150	1557	1028	1621000	36394692	0	0	2827.3	4765	4053
GSM1315617_M4257_Psoriasis_skin_SRX451310	0	2	78	672.8	473	503300	15722625	0	0	1318	2253.65	4957
GSM1315615_M4208_Psoriasis_skin_SRX451309	0	1	40	360.8	231	152500	8431233	0	0	614	1090.94999999999	5268
GSM1315613_M3978_Psoriasis_skin_SRX451308	0	2	123	1226	784	889200	28642652	0	0	2078.3	3669.3	4609
GSM1315612_M3418_Psoriasis_skin_SRX451307	0	4	155	1180	842	994700	27571154	0	0	2181.3	3636.65	4041
GSM1315610_M3171_Psoriasis_skin_SRX451306	0	0	24	490.4	191	353900	11459310	0	0	697.299999999999	1421	5968
GSM1315609_M3059_Psoriasis_skin_SRX451305	0	1	34	388.1	213	243400	9068460	0	0	613	1119.3	5396
GSM1315608_CASP1234_normal_skin_SRX451304	0	3	93	631.4	464	308700	14755355	0	0	1154	1942.65	4326
