baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ykl062w	1226.34718320963	2.20267187181454	0.0822065013805848	26.7943755642514	3.75764466888263e-158	8.89913916754686e-156
ypl257w-b	1473.44468058185	2.48340739558925	0.0926827491291939	26.7947101151211	3.72406477954989e-158	8.89913916754686e-156
ylr413w	2696.81852131067	2.41996303679057	0.0908083127677817	26.6491355585362	1.83145412384739e-156	4.19280897419462e-154
ypr149w	2796.3818923946	1.99997146173404	0.0750874418163004	26.6352323818266	2.65393019641282e-156	5.87973954482686e-154
ybr092c	1314.30943890715	2.76786588916774	0.105516070639534	26.2316998007194	1.15615962686182e-151	2.48140759915219e-149
ybr012w-b	1255.3148591112	2.08768744741371	0.0807709462892928	25.8470098881391	2.62891449851585e-147	5.47132871994146e-145
yml123c	4092.03901844202	4.21839155230903	0.163564487050534	25.7903878059163	1.13664501444254e-146	2.29602292917392e-144
ydr406w	1448.49753417568	1.95053242669175	0.0761352067497553	25.6193226492818	9.2936925695098e-145	1.82368801621124e-142
yml039w	1763.18497788383	2.54778447416791	0.100585041704013	25.3296556923958	1.5059885759506e-141	2.87309153878575e-139
ygr161c-d	1608.5592925509	2.09911824105314	0.085078144739054	24.6728257590879	2.09406499440443e-134	3.88703740042422e-132
ybr067c	4564.2305185324	2.97799759909444	0.121699444306408	24.4701002216297	3.07536437669139e-132	5.55831645766222e-130
ydr365w-b	1597.52083531984	2.40262973287203	0.0996831530670638	24.102665886337	2.34389172261796e-128	4.12765342331799e-126
ybr244w	306.05773055429	2.69724656732525	0.11212473393227	24.0557678286626	7.2646649297728e-128	1.24734296844199e-125
yfl002w-a	684.942226299349	1.39422496476242	0.0580966314302271	23.9983787431265	2.89130847855238e-127	4.84329430017018e-125
ydr210c-d	1469.67916585039	2.08193751958402	0.0875965783760552	23.7673383844537	7.27237940706597e-125	1.18920718494593e-122
ydr033w	3554.72955845425	3.42829093454284	0.144253274258659	23.7657755233729	7.54807741734407e-125	1.20558594656556e-122
ypr137c-b	1487.52469000735	2.29554874342118	0.0966206875387184	23.7583565372715	9.00603083081848e-125	1.40575953968321e-122
yol103w-b	2019.90329419464	2.54530243683116	0.107259236383258	23.7303799901791	1.75201908456294e-124	2.67397046061739e-122
ybl005w	531.443874637977	1.32674436309582	0.0562323540981798	23.5939679989099	4.44479011820278e-123	6.63626489822102e-121
yol155c	1958.26203020445	1.98990676617863	0.0853166198389704	23.3237881427376	2.54357224009152e-120	3.71686258403161e-118
ypr158c-d	2069.9855492412	2.48675571895775	0.107417907834232	23.1502900130518	1.44400600433145e-118	2.06613192453092e-116
ygr233c	703.777269862534	1.44957843728882	0.0633332345395288	22.8881162919933	6.10206988788514e-116	8.55286040612146e-114
ygr038c-b	1763.45572008272	2.34704130986662	0.102921773215013	22.8041281893136	4.17246800924532e-115	5.73130205749937e-113
yor142w-b	1391.10507255824	2.21069120949695	0.0970654613608676	22.7752609270366	8.06590282371667e-115	1.08620824692718e-112
ypr158w-b	1583.60262118876	2.39366942821171	0.106318086590371	22.5142259889815	3.01151287586844e-112	3.97751354451239e-110
ydr261c-d	1776.67040884141	2.72955116329456	0.121647814357224	22.4381438969312	1.67073623683714e-111	2.16502197633915e-109
ylr035c-a	973.854697347406	2.11265109632821	0.0942440624520426	22.4168084583924	2.69854298401286e-111	3.43214689151858e-109
yml045w	1852.32312882774	2.42208417766908	0.108644477334873	22.2936704845431	4.25626586024506e-110	5.31491525966602e-108
yor192c-b	755.191699555305	1.33812066137743	0.0610252890333993	21.927313783718	1.42601155379803e-106	1.74890131276515e-104
yjl012c	2352.28296971928	1.38672516983497	0.0636749650923817	21.7781850028981	3.73581575387785e-105	4.5013302802865e-103
ydr316w-b	1618.53673978492	2.36135414572588	0.108516523827116	21.7603187279377	5.51636388146004e-105	6.53213571342544e-103
ymr122c	215.375311940274	-2.39565218990453	0.110136454965215	-21.7516733279746	6.66056244267011e-105	7.75334624682344e-103
ynl054w-b	1299.11413773904	1.95630262027046	0.0900655681014436	21.7208713774726	1.30284399584901e-104	1.49132209391517e-102
ypr009w	410.085879856697	1.29141880481667	0.0597423962846061	21.616454731151	1.25775964856023e-103	1.41611365021502e-101
