GENE	SRR1566088	SRR1566089	SRR1566090	SRR1566091	SRR1566092	SRR1566093	SRR1566094	SRR1566095	SRR1566097	SRR1566096	SRR1566098	SRR1566099	SRR1566100	SRR1566101
ENSG00000005436.13	14336	17238	11276	39361	22384	17227	18060	22374	13372	37394	34852	45717	11107	21527
ENSG00000005448.16	7511	8481	9035	33501	8411	6139	6456	5939	4811	23832	6957	14639	3952	34344
ENSG00000005469.11	3112	3949	11695	11769	3061	2739	988	4367	4133	12853	8346	5971	3988	12797
ENSG00000005471.15	1404	1990	1982	2928	1508	8119	1721	5877	824	6892	2272	6414	1108	9731
ENSG00000005483.20	358136	270638	326798	137007	448185	287102	193515	111093	268230	261734	193186	164472	297750	128131
ENSG00000005486.16	136089	55005	169892	48407	45016	141229	51057	23141	145870	58934	35183	53829	92646	88991
ENSG00000005513.9	207	104	104	42	104	0	780	0	0	1768	52	0	156	0
ENSG00000005700.14	62934	33095	51485	62849	45176	64070	22731	29868	64310	71879	70963	69541	56226	77699
ENSG00000005801.16	23372	16233	17030	40402	27035	22191	18182	31444	19213	40615	35491	30648	16207	34172
ENSG00000005810.17	121678	127266	215783	200076	176342	167065	69356	58193	170707	235545	115960	118405	133910	141882
ENSG00000005812.10	130820	152981	243791	71090	145211	241008	64480	52846	175695	106054	122396	83581	126222	88391
ENSG00000005844.17	156667	217441	243708	119294	112308	226234	112928	209595	261427	498041	138380	129285	190054	421623
ENSG00000005882.11	10948	11742	10649	39860	5181	23787	19383	23935	10505	32976	21403	39586	9691	37841
ENSG00000005884.17	3224	783	1758	2288	533	724	1922	0	1551	11804	1149	260	2128	4778
ENSG00000005889.15	56088	66652	66527	49518	73032	89304	27075	25955	80965	53783	54802	34510	48869	27209
ENSG00000005893.15	300842	231461	217879	297969	295916	364135	73749	105632	369170	173835	161929	225404	193303	310301
ENSG00000005961.17	17473	83881	7634	112851	35982	17474	241373	17203	234916	219654	31621	148542	37008	42251
ENSG00000005981.12	0	0	0	0	175	0	0	0	0	0	0	0	0	0
ENSG00000006007.11	232973	84125	84854	108283	114834	225883	191075	57261	205305	219406	185300	128856	78652	91403
ENSG00000006015.17	39355	36799	42033	116239	38605	64040	33894	69571	64673	98693	40948	104983	46759	116618
ENSG00000006016.10	37554	9438	16656	14785	16419	23657	9464	10891	18216	8437	23727	12901	15206	15726
ENSG00000006025.11	27181	26170	47691	39110	40632	27980	20784	12310	34900	47488	21647	32347	39151	50155
ENSG00000006042.11	12063	13125	1038	160595	7564	52	884	45198	4862	6032	101587	77912	1819	6314
ENSG00000006047.12	1101	1091	312	74	3146	3115	3416	6349	52	1835	4070	9686	422	1507
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.13	121078	91163	58501	41045	23917	120741	31654	18500	145437	76357	20295	25904	145862	75217
ENSG00000006071.12	0	208	218	0	0	104	0	0	0	0	0	0	0	0
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.14	9494	4098	7965	546	1506	4222	676	11170	3088	3068	528	1800	4819	5468
ENSG00000006125.16	138232	177063	88439	255545	194203	151476	274070	194923	116540	482063	724141	739890	82890	227608
ENSG00000006128.11	0	0	0	0	0	0	0	360	0	0	0	0	0	0
ENSG00000006194.9	57857	31524	45856	83077	31427	48850	27023	32313	53757	85175	56994	82825	35828	80900
ENSG00000006210.6	52	260	156	0	21	104	0	0	102	3172	52	52	0	0
ENSG00000006282.20	38391	51690	99614	136001	82774	86197	63831	44076	41864	118419	64269	35587	52097	164269
ENSG00000006283.17	52	52	355	0	21	385	728	0	20	0	0	22	192	78
ENSG00000006327.13	28615	33349	64153	669	15212	25047	25368	11379	17069	19729	1136	5813	33113	2815
ENSG00000006377.10	104	104	0	0	103	90	34	0	96	618	0	0	0	100
ENSG00000006432.15	3758	1674	3430	1080	1967	1248	6480	2216	3821	5995	156	3557	1559	656
ENSG00000006451.7	90769	24230	100879	65141	29714	37578	16293	21937	80597	53153	27216	43927	88281	68782
ENSG00000006453.13	13202	6965	2236	2806	1613	24863	780	8837	25739	3788	5168	4602	11897	1930
ENSG00000006459.10	192963	126170	122768	31472	72085	171278	37755	58053	161195	136430	351720	117986	261164	98344
ENSG00000006468.13	0	52	0	208	0	3487	0	0	208	1455	0	884	727	1768
ENSG00000006530.15	25014	16667	22339	52889	18601	20597	10627	5301	16703	43380	29199	31763	16870	54242
ENSG00000006534.15	93533	105411	165429	86470	86881	272266	20826	92863	225155	62823	57019	162996	131678	307876
ENSG00000006555.10	1210	560	1508	9967	1089	49	934	0	728	7831	1251	1947	468	1727
ENSG00000006576.16	58110	43492	52341	19766	33975	85076	26993	38291	61168	50313	37531	37906	30330	50147
ENSG00000006606.8	0	161	260	52	0	104	0	0	312	0	0	0	780	156
ENSG00000006607.13	38369	24126	18443	18820	13662	27439	18536	20540	41739	40494	47570	31537	29738	21492
ENSG00000006611.15	0	0	0	0	0	0	0	184	0	0	0	0	0	0
ENSG00000006625.17	44813	32851	21337	73108	46772	62517	22609	28376	19947	71732	68817	81628	20961	98526
ENSG00000006634.7	64813	38756	39569	16338	57223	78038	33518	43035	36180	39604	93341	61453	24071	35887
ENSG00000006638.11	104	985	615	5724	1186	9	382	2	4181	5241	161	1380	1190	52
ENSG00000006652.13	67335	93502	125261	60479	247519	76608	63970	70108	61282	99119	81720	73337	105849	58569
ENSG00000006659.12	0	0	0	0	0	52	0	0	0	0	0	0	0	466
ENSG00000006695.10	10191	11188	3428	17478	9562	11220	5232	4157	10304	30203	23734	27739	10237	21552
ENSG00000006704.10	2844	1077	1219	1195	1150	1144	52	2321	3120	1599	1648	6140	405	6480
ENSG00000006712.14	61820	68388	68599	57656	118003	43505	56983	63325	48165	105756	96027	127711	40006	111347
ENSG00000006715.15	19077	32842	27067	67472	25685	25363	15223	9244	26241	62767	75776	79597	12892	101358
ENSG00000006740.16	156	936	52	7219	364	52	883	2280	0	1970	344	5447	676	2608
ENSG00000006744.18	55083	36947	45871	100512	52848	44355	46590	53398	50623	127620	151939	155661	41315	123474
ENSG00000006747.14	361	364	104	259	150	208	0	0	0	312	51	0	102	11004
ENSG00000006756.15	5199	25495	23963	88591	30254	10430	2232	8655	32548	43581	11179	33622	11192	66374
ENSG00000006757.11	2899	6168	4358	27297	8822	7884	7295	6179	5674	18935	9381	17006	3567	16794
ENSG00000006788.12	0	0	0	104	0	0	0	0	0	0	0	156	0	0
ENSG00000006831.9	129100	89619	109558	79537	84988	200931	54637	84950	189766	139582	358688	264230	99124	134631
ENSG00000006837.11	209	17	1801	2992	390	364	682	112	198	3433	3202	2494	123	700
ENSG00000007001.12	0	0	832	104	0	0	0	0	0	0	0	0	44	0
ENSG00000007038.10	11446	830	49578	86574	16920	115	40603	94	100	817	944	64359	2245	208
ENSG00000007047.14	35561	50143	38755	49510	31661	53804	16935	14131	54095	47308	10033	31710	46262	42895
ENSG00000007062.11	5995	26426	6299	208907	56247	851	3372	701	10135	105289	6509	32369	3787	5402
ENSG00000007080.10	38349	42790	31473	43365	35625	50111	49823	57042	41212	93550	88111	117350	35230	102331
ENSG00000007129.17	8023	4009	2446	7066	4412	13069	1579	4209	8185	9592	4455	8407	1634	15786
ENSG00000007168.12	123754	87726	142195	108414	81684	95961	45625	77555	138659	127344	165973	170858	218835	153273
ENSG00000007171.16	126	0	0	0	208	0	780	0	0	0	52	0	0	0
ENSG00000007174.17	0	0	0	0	52	184	52	52	0	90	468	319	104	0
ENSG00000007202.14	250831	142764	206383	276369	183656	168447	95838	81575	218810	321676	229270	219293	153187	338377
ENSG00000007216.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237.18	333534	354992	332781	69805	149136	476171	48651	85896	462374	58120	22103	79160	337999	176358
ENSG00000007255.10	3417	14641	45227	43487	22055	10574	14776	13822	8335	44803	5416	28598	15323	30796
ENSG00000007264.14	38689	23457	20899	116063	30443	14726	10024	7830	22793	89870	10333	34102	13785	30970
ENSG00000007306.14	0	0	0	0	0	33	0	0	0	0	0	0	0	0
ENSG00000007312.12	14904	12122	16319	67981	9378	6506	5668	15061	8785	51246	4446	32612	4513	69428
ENSG00000007314.11	20	258	0	1558	1165	676	1144	371	0	1293	150	312	36	52
ENSG00000007341.18	9951	10279	12382	22049	20230	11950	12559	11816	10559	22021	23112	20277	6310	13853
ENSG00000007350.16	11611	9893	2599	312	572	416	0	0	260	2926	1299	0	2078	0
ENSG00000007372.20	260	367	831	2538	312	416	364	0	936	2845	2374	6053	52	2303
ENSG00000007376.7	37652	13894	12322	43113	14336	23474	17627	35523	31037	66483	22568	56734	17277	75882
ENSG00000007384.15	2105	23299	1676	18662	12438	1653	4108	1092	1498	18668	4483	2881	1626	1113
ENSG00000007392.16	58387	59076	96361	77004	61162	47999	49025	59644	49331	145444	107340	55720	65432	100715
ENSG00000007402.11	8766	3614	1343	5600	5454	2199	1564	9996	1586	8215	7782	23978	2965	5931
ENSG00000007516.13	8084	6020	8977	13682	6027	7435	28207	13730	8695	27938	11666	17847	13123	17793
ENSG00000007520.3	15042	16141	20154	47572	18185	22815	12685	45915	20701	69469	43493	81427	13565	71475
ENSG00000007541.16	175813	91783	71599	46789	176444	199778	172931	379407	29770	428225	493921	499345	40909	106899
ENSG00000007545.15	57886	44600	68361	85794	51483	57782	61453	40345	55505	122020	69734	62996	54803	48950
ENSG00000007866.18	208	311	156	0	0	364	0	30	208	2354	571	2548	0	42
ENSG00000007908.15	310	0	0	0	0	206	0	0	52	2183	0	0	33	0
ENSG00000007923.15	32213	26647	43424	58069	28324	34144	26550	45911	26819	111724	122323	125276	21102	70375
ENSG00000007933.12	415	3940	0	0	2441	1127	0	5891	0	10504	156	725	0	156
ENSG00000007944.14	194396	144264	335839	54872	378693	87129	36235	119424	80289	127862	212060	79637	98500	106444
ENSG00000007952.17	104	0	0	595	0	156	0	0	0	0	688	165	52	104
ENSG00000007968.6	576342	261623	92047	15718	222106	445140	128174	266969	101116	234816	740168	380109	75522	138967
ENSG00000008018.8	324800	230019	307099	174742	200506	365630	155978	152670	307140	228151	321442	369110	217297	315451
ENSG00000008056.12	58421	1458	1116	5672	286	20223	1265	1369	11873	4412	1087	3666	29101	2102
ENSG00000008083.13	566262	409397	1085815	108390	442653	436805	101280	87654	488652	141745	141446	167938	348788	103973
ENSG00000008086.11	1889	4899	1834	7558	4685	1144	1872	52	2336	5821	2078	9004	1800	9456
ENSG00000008118.9	1036	0	52	0	60	258	0	0	624	0	0	0	627	0
ENSG00000008128.22	160670	118712	138049	58121	108515	78778	89822	79420	170241	144118	196828	140120	122125	115827
ENSG00000008130.15	159321	219619	180612	72226	374178	163682	79144	113453	211722	128270	144767	229814	107117	265469
ENSG00000008196.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226.19	30988	21030	48705	31919	18710	38715	7306	36803	49964	24018	25614	22292	23939	77820
ENSG00000008256.15	34607	24421	30657	36457	34816	21194	14248	22542	18951	33022	39983	35621	38142	22822
ENSG00000008277.14	1340	2539	3635	21885	3273	104	416	3812	2962	10739	7181	2613	315	7531
ENSG00000008282.8	101048	104442	131169	286008	206612	200843	40018	29733	193391	132084	71415	95632	106967	96164
ENSG00000008283.15	10202	17211	10021	116838	13689	11773	13465	5870	37509	63374	13557	16186	9170	19893
ENSG00000008294.20	231541	162296	181264	78262	149140	169809	73896	53972	210263	84589	124391	83034	231428	87936
ENSG00000008300.15	15099	4047	5889	3400	6804	7788	1416	4493	5591	9932	5965	15536	7981	8002
ENSG00000008311.14	2702	11552	5445	32179	4518	2639	800	7095	4718	14412	3130	12476	1034	1685
ENSG00000008323.15	591	280	260	1506	720	70	0	0	1127	1404	360	985	602	245
ENSG00000008324.10	41600	34518	27410	46910	42994	45232	24390	31440	24350	46016	54348	47667	26325	48003
ENSG00000008382.15	14486	11942	10688	27175	22095	18121	7039	13899	10855	29869	22555	27102	18383	54380
ENSG00000008394.12	41467	71590	83642	303536	163342	85766	11533	75194	75065	79359	48135	129877	40160	304167
ENSG00000008405.11	43475	44194	35483	28034	42657	23035	25616	16892	44534	34413	52412	49679	37321	31361
ENSG00000008438.4	1764	2225	5030	2754	22155	936	208	2340	12976	22515	180	9699	882	569
ENSG00000008441.16	53232	48747	26966	111475	83910	58266	76564	87137	26614	106646	395532	282506	13579	26166
ENSG00000008513.14	174160	137695	249047	130333	121757	157551	25070	92334	221492	135422	134734	137387	300243	73917
ENSG00000008516.16	7128	49576	15251	51716	51693	24811	3884	5292	54808	17300	3694	20757	28109	14860
ENSG00000008517.16	27806	19331	9599	11178	16181	10105	16352	6177	13501	244787	52733	36418	7380	18605
ENSG00000008710.18	58230	55474	76534	165106	90170	58871	76243	72774	51063	250711	164553	152499	85523	140356
ENSG00000008735.13	1350	156	877	520	150	468	0	0	1811	623	416	728	780	624
